date,close_price_TONUSDT,return_TONUSDT,signal_TONUSDT,position_TONUSDT,signal_return_TONUSDT,cum_return_TONUSDT,cum_signal_return_TONUSDT
2024-07-09 00:00:00,7.3013,0.026602551,1,1,0.026602551,1.692219764,0.658317192
2024-07-10 00:00:00,7.2255,-0.010381713,1,1,-0.010381713,1.664269912,0.641101019
2024-07-11 00:00:00,7.3166,0.012608124,1,1,0.012608124,1.697861357,0.661792225
2024-07-12 00:00:00,7.3306,0.001913457,0,0.5,0.001913457,1.703023599,0.664971993
2024-07-13 00:00:00,7.2687,-0.008444056,0,0.5,-0.004222028,1.680199115,0.657942434
2024-07-14 00:00:00,7.4189,0.020663943,0,0.5,0.010331971,1.735582596,0.675072248
2024-07-15 00:00:00,7.6256,0.027861273,0,0.5,0.013930637,1.81179941,0.69840707
2024-07-16 00:00:00,7.2707,-0.0465406,0,0.5,-0.0232703,1.680936578,0.658884628
2024-07-17 00:00:00,7.0879,-0.025142008,0,0.5,-0.012571004,1.613532448,0.638030783
2024-07-18 00:00:00,7.2458,0.022277402,1,1,0.011138701,1.671755162,0.656276318
2024-07-19 00:00:00,7.2991,0.007355986,1,1,0.007355986,1.691408555,0.668459863
2024-07-20 00:00:00,7.2547,-0.006082942,1,1,-0.006082942,1.675036873,0.658310719
2024-07-21 00:00:00,7.1726,-0.011316802,1,1,-0.011316802,1.644764012,0.639543945
2024-07-22 00:00:00,6.9689,-0.028399743,0,0.5,-0.028399743,1.569653392,0.592981318
2024-07-23 00:00:00,6.8639,-0.01506694,0,0.5,-0.00753347,1.530936578,0.580980641
2024-07-24 00:00:00,6.8444,-0.00284095,0,0.5,-0.001420475,1.523746313,0.578734897
2024-07-25 00:00:00,6.6157,-0.033414178,0,0.5,-0.016707089,1.439417404,0.552358832
2024-07-26 00:00:00,6.7072,0.013830736,0,0.5,0.006915368,1.473156342,0.563093965
2024-07-27 00:00:00,6.6295,-0.011584566,0,0.5,-0.005792283,1.4445059,0.554040083
2024-07-28 00:00:00,6.6167,-0.001930764,0,0.5,-0.000965382,1.439786136,0.55253984
2024-07-29 00:00:00,6.6153,-0.000211586,0,0.5,-0.000105793,1.439269912,0.552375592
2024-07-30 00:00:00,6.7318,0.01761069,0,0.5,0.008805345,1.482227139,0.566044795
2024-07-31 00:00:00,6.7492,0.002584747,0,0.5,0.001292374,1.488643068,0.56806871
2024-08-01 00:00:00,6.7414,-0.001155693,0,0.5,-0.000577846,1.485766962,0.567162608
2024-08-02 00:00:00,6.1786,-0.083484143,0,0.5,-0.041742071,1.278244838,0.501745994
2024-08-03 00:00:00,5.9675,-0.034166316,0,0.5,-0.017083158,1.200405605,0.47609143
2024-08-04 00:00:00,6.0049,0.006267281,0,0.5,0.003133641,1.214196165,0.48071697
2024-08-05 00:00:00,5.2657,-0.123099469,-1,0,-0.061549734,0.941629794,0.389579234
2024-08-06 00:00:00,5.7479,0.09157377,-1,0,0,1.119432153,0.389579234
2024-08-07 00:00:00,5.4431,-0.053028062,-1,0,0,1.007042773,0.389579234
2024-08-08 00:00:00,6.2122,0.141298157,-1,0,0,1.290634218,0.389579234
2024-08-09 00:00:00,6.6158,0.064968932,-1,0,0,1.439454277,0.389579234
2024-08-10 00:00:00,6.6703,0.008237855,0,0.5,0,1.459550147,0.389579234
2024-08-11 00:00:00,6.2066,-0.069517113,0,0.5,-0.034758557,1.288569322,0.341279465
2024-08-12 00:00:00,6.268,0.009892695,-1,0,0.004946347,1.31120944,0.3479139
2024-08-13 00:00:00,6.4481,0.028733248,-1,0,0,1.377617994,0.3479139
2024-08-14 00:00:00,6.8878,0.06819063,0,0.5,0,1.539749263,0.3479139
2024-08-15 00:00:00,6.5927,-0.042843869,0,0.5,-0.021421934,1.430936578,0.319038976
2024-08-16 00:00:00,6.536,-0.008600422,0,0.5,-0.004300211,1.410029499,0.313366831
2024-08-17 00:00:00,6.4341,-0.015590575,0,0.5,-0.007795288,1.372455752,0.303128759
2024-08-18 00:00:00,6.8845,0.07000202,0,0.5,0.03500101,1.538532448,0.348739582
2024-08-19 00:00:00,6.8272,-0.008323045,0,0.5,-0.004161522,1.51740413,0.343126772
2024-08-20 00:00:00,6.661,-0.024343801,0,0.5,-0.012171901,1.456120944,0.326778366
