date,close_price_SUIUSDT,return_SUIUSDT,signal_SUIUSDT,position_SUIUSDT,signal_return_SUIUSDT,cum_return_SUIUSDT,cum_signal_return_SUIUSDT
2023-10-20 00:00:00,0.3824,0.033792917,-1,0,0,-0.725523974,-0.40454883
2023-10-21 00:00:00,0.3905,0.021182008,-1,0,0,-0.71971002,-0.40454883
2023-10-22 00:00:00,0.4041,0.034827145,-1,0,0,-0.70994832,-0.40454883
2023-10-23 00:00:00,0.421,0.041821331,-1,0,0,-0.697817973,-0.40454883
2023-10-24 00:00:00,0.4344,0.031828979,-1,0,0,-0.688199828,-0.40454883
2023-10-25 00:00:00,0.4373,0.006675875,-1,0,0,-0.686118289,-0.40454883
2023-10-26 00:00:00,0.4402,0.006631603,0,0.5,0,-0.68403675,-0.40454883
2023-10-27 00:00:00,0.4312,-0.020445252,-1,0,-0.010222626,-0.690496698,-0.410635905
2023-10-28 00:00:00,0.4674,0.083951763,0,0.5,0,-0.664513351,-0.410635905
2023-10-29 00:00:00,0.453,-0.030808729,-1,0,-0.015404365,-0.674849268,-0.419714684
2023-10-30 00:00:00,0.4634,0.022958057,-1,0,0,-0.667384439,-0.419714684
2023-10-31 00:00:00,0.4432,-0.04359085,-1,0,0,-0.681883434,-0.419714684
2023-11-01 00:00:00,0.4657,0.050767148,-1,0,0,-0.665733563,-0.419714684
2023-11-02 00:00:00,0.4591,-0.014172214,0,0.5,0,-0.670470858,-0.419714684
2023-11-03 00:00:00,0.4559,-0.006970159,0,0.5,-0.00348508,-0.672767729,-0.421737025
2023-11-04 00:00:00,0.5067,0.111427945,0,0.5,0.055713972,-0.63630491,-0.389519697
2023-11-05 00:00:00,0.5003,-0.012630748,0,0.5,-0.006315374,-0.640898651,-0.393375109
2023-11-06 00:00:00,0.5289,0.057165701,0,0.5,0.02858285,-0.62037037,-0.37603604
2023-11-07 00:00:00,0.5238,-0.009642655,0,0.5,-0.004821327,-0.624031008,-0.379044375
2023-11-08 00:00:00,0.5788,0.105001909,0,0.5,0.052500955,-0.584553546,-0.346443611
2023-11-09 00:00:00,0.5613,-0.030234969,0,0.5,-0.015117484,-0.597114556,-0.35632374
2023-11-10 00:00:00,0.6103,0.087297345,0,0.5,0.043648673,-0.561943727,-0.328228126
2023-11-11 00:00:00,0.5927,-0.028838276,0,0.5,-0.014419138,-0.574576514,-0.337914497
2023-11-12 00:00:00,0.6185,0.04352961,0,0.5,0.021764805,-0.556057996,-0.323504335
2023-11-13 00:00:00,0.6015,-0.027485853,0,0.5,-0.013742926,-0.568260121,-0.332801365
2023-11-14 00:00:00,0.5664,-0.058354115,0,0.5,-0.029177057,-0.593453919,-0.352268258
2023-11-15 00:00:00,0.6196,0.093926554,0,0.5,0.046963277,-0.555268447,-0.321848653
2023-11-16 00:00:00,0.5654,-0.087475791,0,0.5,-0.043737895,-0.594171691,-0.351509566
2023-11-17 00:00:00,0.5541,-0.019985851,0,0.5,-0.009992925,-0.602282515,-0.357989882
2023-11-18 00:00:00,0.5468,-0.013174517,0,0.5,-0.006587259,-0.607522251,-0.362218969
2023-11-19 00:00:00,0.5633,0.030175567,0,0.5,0.015087783,-0.595679012,-0.352596267
2023-11-20 00:00:00,0.5551,-0.014557074,0,0.5,-0.007278537,-0.601564743,-0.357308419
2023-11-21 00:00:00,0.5025,-0.094757701,0,0.5,-0.047378851,-0.639319552,-0.387758407
2023-11-22 00:00:00,0.5567,0.107860697,0,0.5,0.053930348,-0.600416308,-0.354740005
2023-11-23 00:00:00,0.5888,0.057661218,0,0.5,0.028830609,-0.577375825,-0.336136766
2023-11-24 00:00:00,0.627,0.064877717,0,0.5,0.032438859,-0.549956934,-0.314601801
2023-11-25 00:00:00,0.6554,0.045295056,1,1,0.022647528,-0.529572208,-0.299079226
2023-11-26 00:00:00,0.6351,-0.030973451,0,0.5,-0.030973451,-0.54414298,-0.320789161
2023-11-27 00:00:00,0.5931,-0.066131318,0,0.5,-0.033065659,-0.574289406,-0.343247715
2023-11-28 00:00:00,0.6184,0.042657225,0,0.5,0.021328612,-0.556129773,-0.329240101
2023-11-29 00:00:00,0.601,-0.028137128,0,0.5,-0.014068564,-0.568619007,-0.338676729
2023-11-30 00:00:00,0.5972,-0.006322795,0,0.5,-0.003161398,-0.57134654,-0.340767435
2023-12-01 00:00:00,0.613,0.026456798,1,1,0.013228399,-0.560005742,-0.332046843
2023-12-02 00:00:00,0.6258,0.020880914,1,1,0.020880914,-0.55081826,-0.318099371
2023-12-03 00:00:00,0.6158,-0.015979546,1,1,-0.015979546,-0.55799598,-0.328995834
2023-12-04 00:00:00,0.6293,0.021922702,1,1,0.021922702,-0.548306058,-0.314285609
2023-12-05 00:00:00,0.6448,0.024630542,1,1,0.024630542,-0.537180591,-0.297396092
2023-12-06 00:00:00,0.6207,-0.037375931,1,1,-0.037375931,-0.554478898,-0.323656567
2023-12-07 00:00:00,0.6721,0.082809731,1,1,0.082809731,-0.517585415,-0.26764875
2023-12-08 00:00:00,0.7038,0.0471656,1,1,0.0471656,-0.494832041,-0.233106963
2023-12-09 00:00:00,0.6786,-0.035805627,1,1,-0.035805627,-0.512919897,-0.260566049
2023-12-10 00:00:00,0.6932,0.021514884,1,1,0.021514884,-0.502440425,-0.244657213
2023-12-11 00:00:00,0.6296,-0.091748413,1,1,-0.091748413,-0.548090726,-0.313958716
2023-12-12 00:00:00,0.6606,0.049237611,1,1,0.049237611,-0.525839793,-0.280179682
2023-12-13 00:00:00,0.6535,-0.010747805,1,1,-0.010747805,-0.530935975,-0.28791617
2023-12-14 00:00:00,0.6554,0.002907422,1,1,0.002907422,-0.529572208,-0.285845842
2023-12-15 00:00:00,0.6182,-0.056759231,0,0.5,-0.056759231,-0.556273328,-0.326380683
2023-12-16 00:00:00,0.6326,0.023293433,1,1,0.011646716,-0.54593741,-0.31853523
2023-12-17 00:00:00,0.6112,-0.033828644,1,1,-0.033828644,-0.561297732,-0.341588259
2023-12-18 00:00:00,0.6109,-0.000490838,1,1,-0.000490838,-0.561513063,-0.341911432
2023-12-19 00:00:00,0.6793,0.111965952,1,1,0.111965952,-0.512417456,-0.268227919
2023-12-20 00:00:00,0.6885,0.013543353,1,1,0.013543353,-0.505813953,-0.258317271
2023-12-21 00:00:00,0.6887,0.000290487,1,1,0.000290487,-0.505670399,-0.258101822
2023-12-22 00:00:00,0.6959,0.010454479,1,1,0.010454479,-0.50050244,-0.250345663
2023-12-23 00:00:00,0.7544,0.084063802,1,1,0.084063802,-0.458512776,-0.187326869
2023-12-24 00:00:00,0.7148,-0.052492047,1,1,-0.052492047,-0.486936549,-0.229985745
2023-12-25 00:00:00,0.8174,0.143536654,1,1,0.143536654,-0.413293138,-0.119460476
2023-12-26 00:00:00,0.8851,0.082823587,1,1,0.082823587,-0.364699971,-0.046531034
2023-12-27 00:00:00,0.8312,-0.060897074,1,1,-0.060897074,-0.403387884,-0.104594504
2023-12-28 00:00:00,0.797,-0.041145332,1,1,-0.041145332,-0.427935688,-0.14143626
2023-12-29 00:00:00,0.8064,0.011794228,1,1,0.011794228,-0.42118863,-0.131310163
2023-12-30 00:00:00,0.8091,0.003348214,1,1,0.003348214,-0.419250646,-0.128401604
2023-12-31 00:00:00,0.7759,-0.041033247,1,1,-0.041033247,-0.443080678,-0.164166116
2024-01-01 00:00:00,0.8445,0.088413455,1,1,0.088413455,-0.393841516,-0.090267154
2024-01-02 00:00:00,0.9066,0.073534636,1,1,0.073534636,-0.349267873,-0.02337028
2024-01-03 00:00:00,0.8438,-0.069269799,1,1,-0.069269799,-0.394343956,-0.091021225
2024-01-04 00:00:00,0.8546,0.012799242,1,1,0.012799242,-0.386592018,-0.079386986
2024-01-05 00:00:00,0.9001,0.053241282,1,1,0.053241282,-0.353933391,-0.030372369
2024-01-06 00:00:00,0.8314,-0.076324853,1,1,-0.076324853,-0.40324433,-0.104379055
2024-01-07 00:00:00,0.8,-0.037767621,1,1,-0.037767621,-0.425782372,-0.138204527
2024-01-08 00:00:00,0.8607,0.075875,1,1,0.075875,-0.382213609,-0.072815796
2024-01-09 00:00:00,0.7981,-0.072731498,1,1,-0.072731498,-0.427146138,-0.140251291
2024-01-10 00:00:00,0.8421,0.055130936,1,1,0.055130936,-0.395564169,-0.09285254
2024-01-11 00:00:00,1.0934,0.298420615,1,1,0.298420615,-0.215188056,0.177858963
2024-01-12 00:00:00,1.1688,0.06895921,1,1,0.06895921,-0.161068045,0.259083186
2024-01-13 00:00:00,1.2897,0.103439425,1,1,0.103439425,-0.074289406,0.389322027
2024-01-14 00:00:00,1.2518,-0.029386679,1,1,-0.029386679,-0.101492966,0.348494466
2024-01-15 00:00:00,1.3721,0.096101614,1,1,0.096101614,-0.01514499,0.47808696
2024-01-16 00:00:00,1.2701,-0.074338605,1,1,-0.074338605,-0.088357738,0.368208038
2024-01-17 00:00:00,1.2936,0.01850248,1,1,0.01850248,-0.071490095,0.39352328
2024-01-18 00:00:00,1.1587,-0.104282622,1,1,-0.104282622,-0.168317542,0.248203018
2024-01-19 00:00:00,1.1657,0.006041253,1,1,0.006041253,-0.163293138,0.255743728
2024-01-20 00:00:00,1.102,-0.054645278,1,1,-0.054645278,-0.209015217,0.187123264
2024-01-21 00:00:00,1.0612,-0.037023593,1,1,-0.037023593,-0.238300316,0.143171695
2024-01-22 00:00:00,1.074,0.012061817,1,1,0.012061817,-0.229112834,0.156960422
2024-01-23 00:00:00,1.186,0.104283054,1,1,0.104283054,-0.148722366,0.277611789
2024-01-24 00:00:00,1.2919,0.089291737,1,1,0.089291737,-0.072710307,0.391691964
2024-01-25 00:00:00,1.1783,-0.087932503,1,1,-0.087932503,-0.15424921,0.269317007
2024-01-26 00:00:00,1.4584,0.237715353,1,1,0.237715353,0.046798737,0.571053147
