date,close_price_SOLUSDT,return_SOLUSDT,signal_SOLUSDT,position_SOLUSDT,signal_return_SOLUSDT,cum_return_SOLUSDT,cum_signal_return_SOLUSDT
2023-11-12 00:00:00,56.315,-0.001666401,1,1,-0.001666401,16.24227672,190.5933082
2023-11-13 00:00:00,51.662,-0.082624523,1,1,-0.082624523,14.81764184,174.7630026
2023-11-14 00:00:00,56.849,0.100402617,1,1,0.100402617,16.40577447,192.410068
2023-11-15 00:00:00,65.506,0.152280603,1,1,0.152280603,19.0563363,221.8626698
2023-11-16 00:00:00,57.842,-0.116996916,1,1,-0.116996916,16.7098068,195.7884247
2023-11-17 00:00:00,58.49,0.011202932,1,1,0.011202932,16.90820857,197.993032
2023-11-18 00:00:00,58.581,0.001555822,1,1,0.001555822,16.93607054,198.3026297
2023-11-19 00:00:00,61.099,0.04298322,1,1,0.04298322,17.70702061,206.8692984
2023-11-20 00:00:00,56.603,-0.073585492,1,1,-0.073585492,16.33045528,191.5731337
2023-11-21 00:00:00,51.682,-0.086938855,1,1,-0.086938855,14.82376535,174.831046
2023-11-22 00:00:00,57.579,0.114101621,1,1,0.114101621,16.62928263,194.8936535
2023-11-23 00:00:00,56.537,-0.018096876,1,1,-0.018096876,16.3102477,191.3485904
2023-11-24 00:00:00,56.869,0.005872261,1,1,0.005872261,16.41189798,192.4781115
2023-11-25 00:00:00,58.83,0.034482759,1,1,0.034482759,17.01230826,199.1497705
2023-11-26 00:00:00,57.593,-0.021026687,1,1,-0.021026687,16.63356909,194.9412839
2023-11-27 00:00:00,55.03,-0.044501936,1,1,-0.044501936,15.84884113,186.2215174
2023-11-28 00:00:00,58.183,0.05729602,1,1,0.05729602,16.81421267,196.9485653
2023-11-29 00:00:00,59.324,0.019610539,1,1,0.019610539,17.16355898,200.8304434
2023-11-30 00:00:00,59.309,-0.000252849,1,1,-0.000252849,17.15896635,200.7794108
2023-12-01 00:00:00,59.75,0.007435634,1,1,0.007435634,17.29398977,202.2797686
2023-12-02 00:00:00,63.684,0.065841004,1,1,0.065841004,18.49848443,215.6639127
2023-12-03 00:00:00,63.015,-0.010504993,1,1,-0.010504993,18.29365298,213.3878597
2023-12-04 00:00:00,61.671,-0.021328255,1,1,-0.021328255,17.88215303,208.8153407
2023-12-05 00:00:00,61.061,-0.009891197,1,1,-0.009891197,17.69538593,206.7400159
2023-12-06 00:00:00,61.878,0.013380063,1,1,0.013380063,17.94553137,209.5195903
2023-12-07 00:00:00,67.806,0.095801416,1,1,0.095801416,19.76054009,229.6876651
2023-12-08 00:00:00,74.98,0.105801846,1,1,0.105801846,21.95704357,254.094846
2023-12-09 00:00:00,72.368,-0.034835956,1,1,-0.034835956,21.157313,245.2083731
2023-12-10 00:00:00,74.907,0.035084568,1,1,0.035084568,21.93469275,253.8464874
2023-12-11 00:00:00,70.286,-0.061689829,1,1,-0.061689829,20.51985549,238.1250513
2023-12-12 00:00:00,68.644,-0.023361694,1,1,-0.023361694,20.01711521,232.5386851
2023-12-13 00:00:00,70.668,0.029485461,1,1,0.029485461,20.63681455,239.4246809
2023-12-14 00:00:00,75.751,0.071927888,1,1,0.071927888,22.19310493,256.7179205
2023-12-15 00:00:00,72.552,-0.042230466,1,1,-0.042230466,21.21364931,245.8343727
2023-12-16 00:00:00,73.737,0.016333113,1,1,0.016333113,21.57646735,249.8659464
2023-12-17 00:00:00,70.902,-0.038447455,1,1,-0.038447455,20.70845963,240.2207891
2023-12-18 00:00:00,74.429,0.049744718,1,1,0.049744718,21.78834083,252.2202493
2023-12-19 00:00:00,73.04,-0.018662081,1,1,-0.018662081,21.36306298,247.4946326
2023-12-20 00:00:00,82.243,0.125999452,1,1,0.125999452,24.18079667,278.8048202
2023-12-21 00:00:00,93.927,0.142066802,1,1,0.142066802,27.75815192,318.5557962
2023-12-22 00:00:00,97.962,0.042958894,1,1,0.042958894,28.99357031,332.2835597
2023-12-23 00:00:00,107.965,0.102111023,1,1,0.102111023,32.05624445,366.3154848
2023-12-24 00:00:00,112.571,0.042661974,1,1,0.042661974,33.46648908,381.9858883
2023-12-25 00:00:00,120.942,0.074361958,1,1,0.074361958,36.02948471,410.465469
2023-12-26 00:00:00,112.543,-0.069446512,1,1,-0.069446512,33.45791617,381.8906275
2023-12-27 00:00:00,107.095,-0.048408164,1,1,-0.048408164,31.78987171,363.3555952
2023-12-28 00:00:00,101.913,-0.048386946,1,1,-0.048386946,30.20326995,345.7255407
2023-12-29 00:00:00,106.225,0.042310598,1,1,0.042310598,31.52349897,360.3957057
2023-12-30 00:00:00,101.971,-0.04004707,1,1,-0.04004707,30.22102814,345.9228666
2023-12-31 00:00:00,101.778,-0.001892695,1,1,-0.001892695,30.16193625,345.2662475
2024-01-01 00:00:00,110.047,0.081245456,1,1,0.081245456,32.69370197,373.3988066
2024-01-02 00:00:00,106.83,-0.029232964,1,1,-0.029232964,31.70873519,362.4540197
2024-01-03 00:00:00,98.519,-0.077796499,1,1,-0.077796499,29.1641101,334.1785694
2024-01-04 00:00:00,104.975,0.065530507,1,1,0.065530507,31.14077952,356.1429909
2024-01-05 00:00:00,99.874,-0.048592522,1,1,-0.048592522,29.57897799,338.7885123
2024-01-06 00:00:00,93.799,-0.060826642,1,1,-0.060826642,27.71896145,318.1203182
2024-01-07 00:00:00,89.414,-0.046748899,1,1,-0.046748899,26.37638162,303.2017946
2024-01-08 00:00:00,97.901,0.094918022,1,1,0.094918022,28.9748936,332.0760272
2024-01-09 00:00:00,99.347,0.014770023,1,1,0.014770023,29.41762347,336.9955677
2024-01-10 00:00:00,102.063,0.027338521,1,1,0.027338521,30.24919629,346.2358664
2024-01-11 00:00:00,99.928,-0.020918452,1,1,-0.020918452,29.59551147,338.9722295
2024-01-12 00:00:00,92.153,-0.07780602,1,1,-0.07780602,27.21499648,312.5203433
2024-01-13 00:00:00,95.836,0.039966143,1,1,0.039966143,28.34264107,325.0505423
2024-01-14 00:00:00,93.83,-0.020931591,1,1,-0.020931591,27.72845289,318.2257855
2024-01-15 00:00:00,94.359,0.005637856,1,1,0.005637856,27.89041977,320.0255344
2024-01-16 00:00:00,97.637,0.034739664,1,1,0.034739664,28.89406326,331.1778538
2024-01-17 00:00:00,102.155,0.046273441,1,1,0.046273441,30.27736444,346.5488663
2024-01-18 00:00:00,94.389,-0.076021732,1,1,-0.076021732,27.89960503,320.1275996
2024-01-19 00:00:00,93.596,-0.008401403,1,1,-0.008401403,27.65680781,317.4296773
2024-01-20 00:00:00,92.9,-0.007436215,0,0.5,-0.007436215,27.44370962,315.0617657
2024-01-21 00:00:00,91.105,-0.019321851,0,0.5,-0.009660926,26.89412449,312.0083165
2024-01-22 00:00:00,83.883,-0.079271171,0,0.5,-0.039635585,24.68292459,299.6020486
2024-01-23 00:00:00,84.325,0.005269244,0,0.5,0.002634622,24.81825419,300.3940214
2024-01-24 00:00:00,88.744,0.052404388,0,0.5,0.026202194,26.17124399,308.291206
2024-01-25 00:00:00,86.886,-0.020936627,0,0.5,-0.010468313,25.6023698,305.0534487
2024-01-26 00:00:00,92.261,0.061862671,0,0.5,0.030931335,27.24806344,314.5200906
2024-01-27 00:00:00,94.238,0.021428339,0,0.5,0.01071417,27.85337252,317.9006263
2024-01-28 00:00:00,95.948,0.018145546,0,0.5,0.009072773,28.37693273,320.7939394
2024-01-29 00:00:00,101.623,0.059146621,0,0.5,0.029573311,30.11447904,330.3104515
2024-01-30 00:00:00,101.371,-0.002479754,0,0.5,-0.001239877,30.0373228,329.8996674
2024-01-31 00:00:00,96.912,-0.043986939,0,0.5,-0.02199347,28.67208597,322.6220356
2024-02-01 00:00:00,97.775,0.008904986,0,0.5,0.004452493,28.93631548,324.0629604
2024-02-02 00:00:00,100.559,0.028473536,1,1,0.014236768,29.78870825,328.6908064
2024-02-03 00:00:00,97.915,-0.026293022,0,0.5,-0.026293022,28.97918006,320.0222388
2024-02-04 00:00:00,95.451,-0.025164684,0,0.5,-0.012582342,28.22476348,315.9830273
2024-02-05 00:00:00,95.605,0.001613393,1,1,0.000806697,28.27191452,316.2387364
2024-02-06 00:00:00,96.856,0.01308509,1,1,0.01308509,28.65494014,320.3898337
2024-02-07 00:00:00,101.135,0.044178987,1,1,0.044178987,29.96506537,334.5885111
2024-02-08 00:00:00,102.742,0.015889652,1,1,0.015889652,30.4570895,339.9208959
2024-02-09 00:00:00,106.921,0.0406747,1,1,0.0406747,31.73659716,353.787751
2024-02-10 00:00:00,108.976,0.019219798,1,1,0.019219798,32.36578794,360.6066998
2024-02-11 00:00:00,107.471,-0.01381038,1,1,-0.01381038,31.90499372,355.6127738
2024-02-12 00:00:00,111.737,0.039694429,1,1,0.039694429,33.21113867,369.7683143
2024-02-13 00:00:00,112.539,0.007177569,1,1,0.007177569,33.45669147,372.4295294
