date,close_price_BTCUSDT,close_price_ETHUSDT,close_price_SOLUSDT,return_BTCUSDT,return_ETHUSDT,return_SOLUSDT,signal_BTCUSDT,signal_ETHUSDT,signal_SOLUSDT,position_BTCUSDT,position_ETHUSDT,position_SOLUSDT,signal_return_BTCUSDT,signal_return_ETHUSDT,signal_return_SOLUSDT,signal_basket_return,cum_signal_basket_return
3/12/2024,71503.2,3984.18,151.201,-0.00901685,-0.021211049,0.014349734,1,1,1,0.110864522,0.13592064,0.091673518,-0.001008905,-0.002979933,0.001305563,-0.002683,4.238961
3/13/2024,73127.6,4008.76,164.055,0.022717864,0.0061694,0.085012665,1,1,1,0.111516156,0.14412576,0.087141847,0.002518605,0.000838549,0.00779341,0.011151,4.297381
3/14/2024,71455.5,3884.99,176.851,-0.022865512,-0.030874884,0.077998232,1,1,1,0.109672723,0.138036698,0.083674987,-0.002549874,-0.004449866,0.00679691,-0.000203,4.296305
3/15/2024,69552.2,3745,184.155,-0.026636158,-0.036033555,0.041300304,1,1,1,0.108796061,0.13538653,0.083640223,-0.00292126,-0.004973953,0.003455802,-0.004439,4.272795
3/16/2024,65351,3525.58,182.184,-0.060403553,-0.05859012,-0.01070294,1,1,1,0.10097772,0.121873082,0.084826126,-0.006571669,-0.007932313,-0.000895196,-0.015399,4.191599
3/17/2024,68447.9,3646.99,201.962,0.047388716,0.034436887,0.108560576,1,1,1,0.098918373,0.120811037,0.080213691,0.004785205,0.00419693,0.009208773,0.018191,4.28604
3/18/2024,67660,3523.43,196.143,-0.011510945,-0.033879994,-0.028812351,1,1,1,0.098781465,0.116993033,0.079241419,-0.001138644,-0.004093077,-0.002311145,-0.007543,4.246167
3/19/2024,61974.1,3161,169.917,-0.084036358,-0.102862835,-0.13370857,1,1,1,0.088913343,0.097914118,0.066825659,-0.008301235,-0.012034235,-0.010595257,-0.030931,4.083898
3/20/2024,67876.4,3517.8,191.916,0.095238172,0.112875672,0.129469094,1,1,1,0.082395084,0.08563873,0.062271519,0.008467944,0.011052122,0.008651858,0.028172,4.227121
3/21/2024,65539.9,3495.16,179.535,-0.034422863,-0.006435841,-0.064512599,1,1,1,0.080929841,0.085777261,0.060731102,-0.002836275,-0.000551157,-0.004017298,-0.007405,4.188415
3/22/2024,63826,3339,175.257,-0.026150482,-0.044678927,-0.023828223,1,1,1,0.080252006,0.084001847,0.060925426,-0.002116354,-0.003832436,-0.001447114,-0.007396,4.150041
3/23/2024,64020.3,3330.96,172.725,0.003044214,-0.002407907,-0.014447354,1,1,1,0.080495534,0.083970639,0.061388624,0.000244304,-0.000202269,-0.000880211,-0.000838,4.145725
3/24/2024,67260.9,3457.16,184.019,0.05061832,0.037886976,0.065387176,1,1,1,0.07954673,0.083509501,0.061226719,0.004074549,0.003181394,0.004014029,0.01127,4.203718
3/25/2024,69920.5,3592.94,189.181,0.039541546,0.039275012,0.028051451,1,1,1,0.078983602,0.082896702,0.061338684,0.003145401,0.003279837,0.001717498,0.008143,4.246092
3/26/2024,70044.1,3589.64,190.623,0.001767722,-0.000918468,0.00762233,1,1,1,0.078966903,0.083807796,0.061513236,0.000139621,-7.61E-05,0.000467544,0.000531,4.248877
3/27/2024,69532.6,3504.99,186.448,-0.007302542,-0.023581752,-0.021901869,1,1,1,0.080068403,0.083338681,0.061489487,-0.000576659,-0.001976335,-0.001347255,-0.0039,4.228407
3/28/2024,70838.7,3563.99,189.852,0.018783995,0.016833144,0.018257101,1,1,1,0.081085279,0.083437229,0.061877858,0.001504004,0.001402852,0.00112262,0.004029,4.249472
3/29/2024,69903.6,3512.46,192.2,-0.013200412,-0.014458514,0.012367528,1,1,1,0.08737811,0.084577584,0.064267969,-0.001070359,-0.001206378,0.000765276,-0.001511,4.24154
3/30/2024,69642.1,3508.66,194.351,-0.003740866,-0.001081863,0.011191467,1,1,1,0.08792143,0.084766657,0.064760411,-0.00032687,-9.15E-05,0.000719253,0.000301,4.243118
3/31/2024,71363,3648.79,202.678,0.024710628,0.039938324,0.042845162,1,1,1,0.087767373,0.084116694,0.064554905,0.002172594,0.003385438,0.00277467,0.008333,4.286809
4/1/2024,69700,3506.52,192.355,-0.023303393,-0.038991008,-0.050933007,1,1,1,0.087130614,0.08274435,0.062970359,-0.002045278,-0.003279795,-0.003287975,-0.008613,4.241273
4/2/2024,65505.3,3280.76,181.679,-0.060182209,-0.064382921,-0.055501547,1,0,1,0.125649038,0,0.092097534,-0.005243713,-0.005327323,-0.003494952,-0.014066,4.167549
4/3/2024,65971.9,3313.29,185.173,0.007123088,0.009915385,0.019231722,0,0,1,0,0,0.184282758,0.000895009,0,0.001771194,0.002666,4.181326
4/4/2024,68489.9,3329.65,184.123,0.038167765,0.00493769,-0.005670373,1,0,1,0.139759795,0,0.094772053,0,0,-0.001044952,-0.001045,4.175912
4/5/2024,67825.7,3319.66,174.45,-0.00969778,-0.003000315,-0.052535533,1,0,1,0.141662438,0,0.093070212,-0.00135536,0,-0.0049789,-0.006334,4.143127
4/6/2024,68901.6,3353.15,178.768,0.015862719,0.010088383,0.024752078,1,0,1,0.141464159,0,0.097348645,0.002247151,0,0.002303681,0.004551,4.166534
4/7/2024,69362.7,3455.99,179.615,0.006692152,0.030669669,0.004737984,1,0,1,0.142004981,0,0.09734353,0.0009467,0,0.000461236,0.001408,4.173808
4/8/2024,71678.4,3697.6,180.822,0.033385379,0.069910503,0.006719929,1,0,1,0.140235642,0,0.097423294,0.00474089,0,0.000654142,0.005395,4.201721
4/9/2024,69189.3,3508.45,172.558,-0.034725943,-0.051154803,-0.045702403,1,0,1,0.138112239,0,0.095811017,-0.004869815,0,-0.004452479,-0.009322,4.153231
4/10/2024,70681.7,3547.64,173.438,0.021569809,0.011170175,0.005099735,0,0,1,0,0,0.192295073,0.002979055,0,0.000488611,0.003468,4.171102
4/11/2024,70055.7,3504.43,172.497,-0.008856606,-0.012179928,-0.00542557,0,0,1,0,0,0.192219978,0,0,-0.00104331,-0.001043,4.165709
4/12/2024,67136.4,3238.3,153.162,-0.041671127,-0.075941023,-0.112088906,0,0,0,0,0,0,0,0,-0.021545727,-0.021546,4.054408
4/13/2024,63939.7,3005.46,138.467,-0.047615005,-0.071901924,-0.095944164,0,0,0,0,0,0,0,0,0,0,4.054408
4/14/2024,65615.9,3153.16,151.187,0.026215325,0.049143891,0.091863043,0,0,0,0,0,0,0,0,0,0,4.054408
4/15/2024,63392.7,3100.75,138.442,-0.033882032,-0.016621421,-0.084299576,0,0,0,0,0,0,0,0,0,0,4.054408
4/16/2024,63765,3082.85,136.183,0.005872916,-0.005772797,-0.016317303,0,0,0,0,0,0,0,0,0,0,4.054408
4/17/2024,61254.5,2983.25,131.781,-0.039371128,-0.032307767,-0.032324152,0,0,0,0,0,0,0,0,0,0,4.054408
4/18/2024,63445,3062.85,141.957,0.035760638,0.02668231,0.077219022,1,0,0,0.306375355,0,0,0,0,0,0,4.054408
4/19/2024,63787.4,3054.91,142.444,0.0053968,-0.002592357,0.003430616,0,0,0,0,0,0,0.001653447,0,0,0.001653,4.062763
4/20/2024,64897.2,3154.31,151.155,0.01739842,0.032537783,0.061153857,0,0,0,0,0,0,0,0,0,0,4.062763
4/21/2024,64912.6,3145.73,148.734,0.000237298,-0.002720088,-0.016016672,1,0,0,0.369502448,0,0,0,0,0,0,4.062763
4/22/2024,66778,3198.66,156.881,0.028737102,0.016825983,0.05477564,1,0,0,0.363723375,0,0,0.010618429,0,0,0.010618,4.11652
4/23/2024,66386.3,3218.04,154.723,-0.005865704,0.006058787,-0.013755649,0,0,0,0,0,0,-0.002133494,0,0,-0.002133,4.105606
4/24/2024,64250,3138.84,147.701,-0.032179832,-0.024611254,-0.045384332,0,0,0,0,0,0,0,0,0,0,4.105606
