date,close,open,signal,position,asset_return,signal_return
2021-04-21,53800.0,56411.25,0.0,0.5,-0.0462778600318805,-0.02313893001594025
2021-04-22,51714.61,53794.72,0.0,0.5,-0.03876189591078061,-0.019380947955390304
2021-04-23,51122.62,51714.62,0.0,0.5,-0.011447248659518072,-0.005723624329759036
2021-04-24,50092.4,51122.63,0.0,0.5,-0.02015194056955616,-0.01007597028477808
2021-04-25,49063.94,50094.27,0.0,0.5,-0.02053125823478208,-0.01026562911739104
2021-04-26,53984.33,49063.94,0.0,0.5,0.10028526041732477,0.050142630208662387
2021-04-27,55006.25,53984.34,0.0,0.5,0.01892993763190165,0.009464968815950825
2021-04-28,54861.77,55006.25,0.0,0.5,-0.0026266106124304134,-0.0013133053062152067
2021-04-29,53558.8,54861.76,0.0,0.5,-0.023750053999351373,-0.011875026999675686
2021-04-30,57684.16,53558.57,0.0,0.5,0.07702487733108287,0.03851243866554144
2021-05-01,57836.34,57688.29,0.0,0.5,0.0026381592451028,0.0013190796225514
2021-05-02,56630.33,57836.35,0.0,0.5,-0.02085211477766391,-0.010426057388831955
2021-05-03,57214.83,56630.34,1.0,1.0,0.010321324279763067,0.005160662139881533
2021-05-04,53263.32,57214.84,0.0,0.5,-0.0690644366154719,-0.0690644366154719
2021-05-05,57497.77,53263.32,0.0,0.5,0.07950030152082133,0.03975015076041066
2021-05-06,56435.35,57497.76,0.0,0.5,-0.01847758617421158,-0.00923879308710579
2021-05-07,57350.88,56435.35,1.0,1.0,0.016222633508961914,0.008111316754480957
2021-05-08,58924.98,57350.89,1.0,1.0,0.027446832550782174,0.027446832550782174
2021-05-09,58292.53,58926.36,1.0,1.0,-0.010733138984518997,-0.010733138984518997
2021-05-10,55869.67,58292.53,0.0,0.5,-0.04156381615277294,-0.04156381615277294
2021-05-11,56710.43,55869.41,0.0,0.5,0.01504859434465966,0.00752429717232983
2021-05-12,49595.76,56712.7,0.0,0.5,-0.12545611098346454,-0.06272805549173227
2021-05-13,49707.9,49596.75,0.0,0.5,0.0022610803826779158,0.0011305401913389579
2021-05-14,49873.27,49706.27,0.0,0.5,0.003326835372244652,0.001663417686122326
2021-05-15,46793.41,49873.26,0.0,0.5,-0.0617537209811988,-0.0308768604905994
2021-05-16,46429.28,46794.62,0.0,0.5,-0.007781651305173165,-0.0038908256525865825
2021-05-17,43566.18,46429.28,0.0,0.5,-0.0616658281153617,-0.03083291405768085
2021-05-18,42882.53,43565.11,0.0,0.5,-0.01569221813801447,-0.007846109069007234
2021-05-19,36689.14,42882.54,0.0,0.5,-0.14442687966404966,-0.07221343983202483
2021-05-20,40500.3,36689.14,0.0,0.5,0.10387706007826858,0.05193853003913429
2021-05-21,37211.02,40500.0,0.0,0.5,-0.08121618852206047,-0.040608094261030236
2021-05-22,37432.58,37210.01,0.0,0.5,0.005954150141544323,0.0029770750707721616
2021-05-23,34651.6,37436.0,0.0,0.5,-0.07429303563900758,-0.03714651781950379
2021-05-24,38779.66,34656.53,0.0,0.5,0.11913042976370525,0.059565214881852624
2021-05-25,38326.84,38783.58,0.0,0.5,-0.011676739816697923,-0.0058383699083489615
2021-05-26,39224.2,38326.84,0.0,0.5,0.02341335732348404,0.01170667866174202
2021-05-27,38527.38,39224.21,0.0,0.5,-0.017765053206948767,-0.008882526603474383
2021-05-28,35670.99,38527.38,0.0,0.5,-0.074139222547705,-0.0370696112738525
2021-05-29,34611.94,35670.99,0.0,0.5,-0.02968939185595898,-0.01484469592797949
2021-05-30,35651.81,34611.95,0.0,0.5,0.03004367856872503,0.015021839284362515
2021-05-31,37243.38,35651.8,0.0,0.5,0.04464205323656789,0.022321026618283946
2021-06-01,36693.41,37244.36,0.0,0.5,-0.014766919651223787,-0.007383459825611893
2021-06-02,37569.99,36694.37,0.0,0.5,0.02388930328361405,0.011944651641807025
2021-06-03,39247.4,37570.0,0.0,0.5,0.044647603047006434,0.022323801523503217
2021-06-04,36828.03,39247.4,-1.0,0.0,-0.06164408342973049,-0.030822041714865245
2021-06-05,35498.62,36828.03,-1.0,0.0,-0.03609777661199898,-0.0
2021-06-06,35801.71,35497.93,-1.0,0.0,0.008538078381638448,0.0
2021-06-07,33550.96,35801.71,-1.0,0.0,-0.06286710886156,-0.0
2021-06-08,33372.58,33550.97,-1.0,0.0,-0.005316688404743086,-0.0
2021-06-09,37368.45,33372.58,-1.0,0.0,0.11973512386516094,0.0
2021-06-10,36669.66,37369.99,-1.0,0.0,-0.0186999995985917,-0.0
